State,Facilities (n),Facilities (n),Facilities (n),Facilities (n),Number of women of reproductive age per facility,Number of women of reproductive age per facility,Number of women of reproductive age per facility,Number of women of reproductive age per facility,"Facilities offering only procedural abortion only, n (%)","Facilities offering only procedural abortion only, n (%)","Facilities offering only procedural abortion only, n (%)","Facilities offering only procedural abortion only, n (%)","Facilities offering only medication abortion only, n (%)","Facilities offering only medication abortion only, n (%)","Facilities offering only medication abortion only, n (%)","Facilities offering only medication abortion only, n (%)","Facilities offering both procedural abortion and medication abortion, n (%)","Facilities offering both procedural abortion and medication abortion, n (%)","Facilities offering both procedural abortion and medication abortion, n (%)","Facilities offering both procedural abortion and medication abortion, n (%)","Gestational limit for medication abortion, mean (range)","Gestational limit for medication abortion, mean (range)","Gestational limit for medication abortion, mean (range)","Gestational limit for medication abortion, mean (range)","Gestational limit for procedural abortion, mean (range)","Gestational limit for procedural abortion, mean (range)","Gestational limit for procedural abortion, mean (range)","Gestational limit for procedural abortion, mean (range)",Median cost of medication abortion services,Median cost of medication abortion services,Median cost of medication abortion services,Median cost of medication abortion services,Median cost of first trimester procedural abortion services,Median cost of first trimester procedural abortion services,Median cost of first trimester procedural abortion services,Median cost of first trimester procedural abortion services,Median cost of second trimester procedural abortion services,Median cost of second trimester procedural abortion services,Median cost of second trimester procedural abortion services,Median cost of second trimester procedural abortion services,"Accepts insurance, n (%†)","Accepts insurance, n (%†)","Accepts insurance, n (%†)","Accepts insurance, n (%†)","Number of independent clinics, n (%)","Number of independent clinics, n (%)","Number of independent clinics, n (%)","Number of independent clinics, n (%)","Number of Planned Parenthoods, n (%)","Number of Planned Parenthoods, n (%)","Number of Planned Parenthoods, n (%)","Number of Planned Parenthoods, n (%)"
Illinois,24,24,29,30,"122,599","121,559","99,837","96,509",0 (0),0 (0),0 (0),0 (0),9 (38),8 (33),12 (41),13 (43),15 (63),16 (67),17 (59),17 (57),10 (7-10),10 (7-10),10 (7-10),10 (10-11),20 (12-24),20 (12-24),20 (12-24),20 (13-24),475,475,470,470,455,455,475,480,1390,1390,--,545,21 (88),21 (88),25 (86),26 (87),13 (54),13 (54),14 (48),14 (47),11 (46),11 (46),15 (52),16 (53)
Indiana,7,7,7,7,"214,920","215,903","216,785","216,785",0 (0),0 (0),0 (0),0 (0),1 (17),1 (17),2 (29),2 (29),5 (83),5 (83),5 (71),5 (71),9 (8-9),9 (9-9),10 (10-10),10 (10-10),14 (12-14),14 (12-14),14 (13-14),14 (13-14),525,525,725,834,425,425,725,834,--,--,--,--,5 (71),5 (71),5 (71),5 (71),3 (43),3 (43),3 (43),3 (43),4 (57),4 (57),4 (57),4 (57)
Michigan,23,23,21,22,"95,770","95,520","104,220","99,483",0 (0),0 (0),0 (0),0 (0),5 (22),5 (22),6 (29),7 (32),18 (78),18 (78),15 (71),15 (68),10 (8-10),10 (9-10),10 (9-10),10 (9-11),24 (13-24),24 (13-24),24 (13-24),24 (14-24),450,450,500,550,495,495,500,500,695,695,--,588,19 (83),19 (83),16 (76),17 (77),15 (65),15 (65),12 (57),12 (55),8 (35),8 (35),9 (43),10 (45)
Ohio,11,9,10,9,"234,446","286,244","257,095","285,661",1 (9),1 (11),0 (0),0 (0),1 (9),1 (11),3 (30),2 (22),9 (82),7 (78),7 (70),7 (78),7 (7-8),10 (7-10),10 (9-10),10 (10-10),18 (13-22),19 (16-22),20 (16-22),20 (16-22),510,525,573,588,440,420,540,625,740,675,--,820,6 (55),4 (44),3 (30),3 (33),8 (73),6 (67),7 (70),6 (67),3 (27),3 (33),3 (30),3 (33)
Wisconsin,3,3,4,4,"420,518","420,208","314,906","314,906",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (25),1 (25),3 (100),3 (100),3 (75),3 (75),10 (9-10),10 (9-10),10 (9-10),11 (11-11),,19 (17-23) 19 (17-23),,19 (17-21) 20 (20-22),--,625,600,600,--,650,685,738,--,1400,--,1123,2 (67),2 (67),3 (75),3 (75),1 (33),1 (33),1 (25),1 (25),2 (67),2 (67),3 (75),3 (75)
Iowa,6,6,6,6,"113,722","113,736","113,702","113,702",0 (0),0 (0),0 (0),0 (0),3 (50),3 (50),3 (50),3 (50),3 (50),3 (50),3 (50),3 (50),9 (9-10),9 (9-10),10 (10-10),10 (10-11),20 (20-22),20 (20-22),20 (20-20),20 (20-20),--,950,730,730,--,700,825,820,--,--,--,1065,6 (100),6 (100),5 (83),5 (83),1 (17),1 (17),1 (17),1 (17),5 (83),5 (83),5 (83),5 (83)
Kansas,4,4,4,4,"159,933","160,263","160,156","160,156",0 (0),0 (0),0 (0),0 (0),1 (25),1 (25),1 (25),1 (25),3 (75),3 (75),3 (75),3 (75),10 (7-10),10 (7-10),10 (10-10),11 (10-11),21 (14-22),22 (14-22),22 (22-22),22 (22-22),669,669,744,763,669,669,760,760,750,750,--,1513,4 (100),4 (100),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50)
Minnesota,5,5,5,5,"246,603","247,804","248,807","248,807",1 (20),1 (20),0 (0),0 (0),0 (0),0 (0),1 (20),1 (20),4 (80),4 (80),4 (80),4 (80),10 (7-10),10 (7-10),10 (7-10),10 (9-11),20 (12-24),20 (12-24),20 (12-24),20 (12-24),--,645,652,668,--,720,658,700,--,1575,--,1360,5 (100),5 (100),5 (100),5 (100),4 (80),4 (80),3 (60),3 (60),1 (20),1 (20),2 (40),2 (40)
Missouri,1,1,2,1,"1,356,931","1,356,955","678,931","1,357,862",0 (0),0 (0),0 (0),1 (100),0 (0),0 (0),1 (50),0 (0),1 (100),1 (100),1 (50),0 (0),10 (10-10),10 (10-10),10 (10-10),--,22 (22-22),22 (22-22),22 (22-22),24 (24-24),--,--,535,--,--,--,545,478,--,--,--,3600,1 (100),1 (100),2 (100),1 (100),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),2 (100),1 (100)
Nebraska,3,3,3,3,"140,744","141,538","142,036","142,036",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),3 (100),3 (100),3 (100),3 (100),10 (10-10),10 (10-10),10 (10-10),10 (10-10),17 (17-22),17 (17-22),17 (17-22),17 (17-22),600,600,730,730,600,600,825,820,1625,1625,--,1065,2 (67),2 (67),2 (67),2 (67),1 (33),1 (33),1 (33),1 (33),2 (67),2 (67),2 (67),2 (67)
North Dakota,1,1,1,1,"164,310","164,866","165,556","165,556",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),9 (9-10),9 (9-10),10 (10-10),10 (10-10),16 (16-16),16 (16-16),16 (16-16),16 (16-16),--,625,650,650,--,625,650,675,--,850,--,975,1 (100),1 (100),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),0 (0),0 (0),0 (0),0 (0)
South Dakota,1,1,1,1,"182,883","183,559","184,364","184,364",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),10 (10-10),10 (10-10),10 (10-10),10 (10-10),14 (14-14),14 (14-14),14 (14-14),14 (14-14),--,--,710,710,--,--,1043,843,--,--,--,--,1 (100),1 (100),1 (100),1 (100),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100)
Delaware,3,3,2,2,"69,645","69,573","104,454","104,454",0 (0),0 (0),0 (0),0 (0),1 (33),1 (33),0 (0),0 (0),2 (67),2 (67),2 (100),2 (100),10 (9-10),10 (9-10),10 (10-10),11 (11-11),16 (14-16),16 (14-16),16 (16-16),16 (16-16),--,--,490,490,--,--,525,490,--,--,--,716,3 (100),3 (100),2 (100),2 (100),1 (33),1 (33),0 (0),0 (0),2 (67),2 (67),2 (100),2 (100)
District of Columbia,4,4,6,5,"51,347","51,789","34,787","41,744",1 (25),1 (25),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),3 (75),3 (75),5 (100),5 (100),9 (6-10),9 (6-10),10 (6-10),10 (9-10),25 (20-26),25 (20-26),27 (18-36),27 (18-36),--,475,460,425,--,419,395,510,--,--,--,888,3 (75),3 (75),3 (50),3 (60),2 (67),2 (67),5 (83),4 (80),1 (33),1 (33),1 (17),1 (20)
Florida,65,63,57,53,"69,239","71,987","79,984","86,020",1 (2),1 (2),0 (0),0 (0),5 (8),4 (7),7 (12),6 (12),58 (91),57 (92),50 (88),46 (89),9 (6-10),9 (6-10),9 (6-10),10 (6-11),22 (7-24),20 (10-24),20 (10-24),17 (10-24),465,465,550,550,400,400,550,550,1038,1350,--,838,37 (57),35 (56),36 (63),31 (58),51 (78),50 (79),42 (74),39 (74),14 (22),14 (27),15 (26),14 (26)
Georgia,17,17,16,14,"147,157","148,198","158,681","181,350",0 (0),0 (0),0 (0),0 (0),4 (24),4 (24),4 (25),4 (29),13 (77),13 (77),12 (75),10 (71),9 (7-10),10 (7-10),10 (8-10),11 (8-11),14 (13-24),14 (13-25),14 (13-24),14 (13-22),450,475,475,500,495,495,503,528,530,530,--,750,11 (65),10 (59),10 (63),8 (57),14 (82),13 (76),12 (75),10 (71),3 (18),4 (24),4 (25),4 (29)
Maryland,25,22,21,19,"55,597","62,917","65,640","72,550",0 (0),0 (0),0 (0),0 (0),4 (16),4 (18),5 (24),4 (22),21 (84),18 (82),16 (76),14 (78),9 (7-12),9 (7-12),10 (8-10),10 (8-11),17 (13-26),17 (13-26),17 (13-28),17 (14-28),375,375,390,390,388,375,406,433,498,460,--,670,24 (96),21 (95),15 (71),18 (95),19 (76),17 (77),16 (76),12 (63),6 (24),5 (23),5 (24),7 (37)
North Carolina,14,13,14,16,"168,875","183,326","171,254","149,847",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (7),1 (7),14 (100),13 (100),13 (93),14 (93),9 (8-10),10 (8-10),10 (9-11),10 (9-11),19 (14-20),19 (14-20),19 (14-20),17 (14-22),375,413,458,420,395,390,380,400,970,970,--,1075,6 (43),5 (38),6 (43),6 (38),9 (64),8 (62),9 (64),10 (63),5 (36),5 (38),5 (36),6 (38)
South Carolina,3,3,3,3,"374,492","377,334","380,350","380,350",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),3 (100),3 (100),3 (100),3 (100),10 (10-10),10 (10-10),10 (10-10),11 (10-11),14 (14-20),14 (14-20),14 (14-14),14 (14-14),--,550,620,620,--,550,620,620,--,--,--,695,1 (33),1 (33),2 (67),2 (67),1 (33),1 (33),1 (33),1 (33),2 (67),2 (67),2 (67),2 (67)
Virginia,15,15,15,16,"129,435","129,398","129,297","121,216",0 (0),0 (0),0 (0),0 (0),1 (7),0 (0),1 (7),1 (6),14 (93),15 (100),14 (93),15 (94),8 (7-10),9 (7-10),9 (7-10),10 (8-11),14 (12-21),14 (12-24),14 (12-21),16 (12-21),395,415,440,433,380,513,449,428,973,1036,--,814,14 (93),12 (80),13 (87),14 (88),11 (73),11 (73),10 (67),11 (69),4 (27),4 (27),5 (33),5 (31)
West Virginia,1,1,1,1,"380,730","376,293","371,751","371,751",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),,10 (10-10) 10 (10-10),10 (10-10),11 (11-11),,16 (16-16) 16 (16-16),16 (16-16),16 (16-16),--,541,725,495,--,496,725,525,--,--,--,--,1 (100),1 (100),1 (100),1 (100),1 (100),1 (100),1 (100),1 (100),0 (0),0 (0),0 (0),0 (0)
Alabama,5,5,3,3,"221,821","221,608","368,957","368,957",1 (20),1 (20),1 (33),1 (33),0 (0),0 (0),0 (0),0 (0),4 (80),4 (80),2 (67),2 (67),9 (9-10),9 (9-10),9 (9-9),10 (9-10),14 (14-22),14 (14-22),21 (14-22),21 (14-22),--,525,575,525,--,500,500,500,--,650,--,--,2 (40),2 (40),1 (33),0 (0),3 (60),3 (60),3 (100),3 (100),2 (40),2 (40),0 (0),0 (0)
Kentucky,1,1,1,1,"991,091","988,756","986,520","986,520",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),9 (9-9),9 (9-9),9 (9-9),10 (10-10),22 (22-22),22 (22-22),22 (22-22),22 (22-22),650,650,700,700,750,750,800,800,--,--,--,1475,0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),0 (0),0 (0),0 (0),0 (0)
Mississippi,1,1,1,1,"686,239","680,107","676,441","676,441",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),10 (10-10),10 (10-10),10 (10-10),11 (11-11),16 (16-16),16 (16-16),16 (16-16),16 (16-16),--,600,600,600,--,600,600,650,--,750,--,763,0 (0),0 (0),0 (0),0 (0),1 (100),1 (100),1 (100),1 (100),0 (0),0 (0),0 (0),0 (0)
Tennessee,8,8,8,8,"191,566","193,121","194,283","194,283",0 (0),0 (0),0 (0),0 (0),2 (25),2 (25),3 (38),2 (25),6 (75),6 (75),5 (63),6 (75),10 (8-10),10 (8-10),10 (8-11),11 (8-11),16 (14-18),15 (14-18),15 (14-20),16 (13-20),550,550,600,600,638,638,675,663,800,800,--,900,8 (100),8 (100),7 (88),7 (88),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50)
Arkansas,3,3,3,2,"223,031","223,282","223,439","335,159",0 (0),0 (0),0 (0),0 (0),2 (67),2 (67),2 (67),1 (50),1 (33),1 (33),1 (33),1 (50),9 (8-9),9 (8-9),9 (8-10),11 (10-11),21 (21-21),21 (21-21),21 (21-21),21 (21-21),--,700,575,722,--,600,650,625,--,--,--,--,2 (67),2 (67),1 (33),0 (0),1 (33),1 (33),1 (33),1 (50),2 (67),2 (67),2 (67),1 (50)
Louisiana,3,3,3,3,"357,400","354,996","352,594","352,594",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),3 (100),3 (100),3 (100),3 (100),9 (8-10),9 (8-10),9 (8-10),9 (8-10),17 (12-19),17 (12-19),16 (12-19),17 (12-19),493,500,700,600,600,594,600,963,2200,1480,--,--,0 (0),0 (0),0 (0),0 (0),3 (100),3 (100),3 (100),3 (100),0 (0),0 (0),0 (0),0 (0)
Oklahoma,4,3,4,4,"220,452","294,436","221,773","221,773",0 (0),0 (0),0 (0),0 (0),1 (25),0 (0),1 (25),0 (0),3 (75),3 (100),3 (75),4 (100),10 (6-10),10 (6-10),10 (6-10),9 (6-11),15 (12-22),15 (12-22),18 (12-22),16 (12-22),--,590,600,638,--,590,625,638,--,700,--,1100,2 (50),1 (33),2 (50),2 (50),3 (75),3 (100),3 (75),3 (75),1 (25),0 (0),1 (25),1 (25)
Texas,21,19,23,22,"323,547","361,578","302,130","315,863",1 (5),0 (0),0 (0),0 (0),0 (0),0 (0),2 (9),2 (9),20 (95),19 (100),21 (91),20 (91),7 (6-10),10 (6-10),10 (6-10),10 (9-11),17 (11-24),16 (11-24),16 (13-24),17 (13-22),581,581,600,685,538,538,700,734,900,900,--,938,8 (38),8 (42),8 (35),9 (41),15 (71),15 (79),14 (61),14 (64),6 (29),4 (21),9 (39),8 (36)
Arizona,8,8,8,8,"195,832","198,634","201,690","201,690",0 (0),0 (0),0 (0),0 (0),1 (13),1 (13),1 (13),1 (13),7 (88),7 (88),7 (88),7 (88),10 (9-10),10 (9-10),10 (10-10),10 (10-11),17 (16-24),17 (16-24),17 (16-24),17 (16-24),--,460,590,605,--,480,620,620,--,1703,--,1510,3 (38),3 (38),5 (63),5 (63),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50),4 (50)
Colorado,21,21,19,23,"62,508","63,547","71,121","58,752",2 (10),2 (10),1 (5),1 (4),8 (38),8 (38),7 (37),10 (44),11 (52),11 (52),11 (58),12 (52),10 (7-10),10 (7-10),10 (7-11),11 (7-11),14 (10-26),18 (10-26),19 (8-26),20 (8-26),465,465,520,458,413,458,560,540,738,738,--,1500,17 (81),17 (81),15 (79),17 (74),10 (48),10 (48),9 (47),11 (48),11 (52),11 (52),10 (53),12 (52)
Idaho,4,4,4,4,"94,879","96,762","98,720","98,720",0 (0),0 (0),0 (0),0 (0),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),2 (50),10 (8-10),10 (8-10),10 (8-10),11 (8-11),14 (13-16),14 (13-16),14 (13-16),14 (13-16),650,650,650,650,650,575,575,575,823,823,--,--,3 (75),3 (75),3 (75),3 (75),1 (25),1 (25),1 (25),1 (25),3 (75),3 (75),3 (75),3 (75)
Montana,5,5,6,6,"43,972","44,347","37,214","37,214",0 (0),0 (0),0 (0),0 (0),1 (25),1 (25),2 (33),2 (33),3 (75),3 (75),4 (67),4 (67),10 (10-10),10 (10-10),10 (10-10),10 (10-10),15 (12-21),15 (12-21),15 (12-21),15 (13-21),--,600,799,550,--,700,917,800,--,--,--,850,5 (100),5 (100),5 (83),5 (83),2 (40),2 (40),2 (33),2 (33),3 (60),3 (60),4 (67),4 (67)
Nevada,8,8,7,9,"84,725","86,164","99,847","77,659",2 (25),2 (25),1 (14),1 (11),2 (25),2 (25),2 (29),3 (33),4 (50),4 (50),4 (57),5 (56),9 (8-10),10 (8-10),10 (8-10),10 (8-10),16 (9-24),16 (9-24),19 (12-24),19 (12-24),500,500,500,570,495,495,550,663,1238,1238,--,--,2 (25),2 (25),2 (29),4 (44),6 (75),6 (75),5 (71),6 (67),2 (25),2 (25),2 (29),3 (33)
New Mexico,5,5,5,5,"91,227","91,169","91,212","91,212",0 (0),0 (0),0 (0),1 (11),1 (20),1 (20),1 (20),1 (20),4 (80),4 (80),4 (80),4 (80),10 (7-10),10 (7-10),10 (10-11),11 (10-11),21 (15-28),21 (15-28),21 (15-28),22 (15-32),--,450,490,540,--,470,508,625,--,1125,--,1125,3 (60),3 (60),3 (60),4 (80),3 (60),3 (60),3 (60),3 (60),2 (40),2 (40),2 (40),2 (40)
Utah,2,2,2,2,"378,477","386,483","394,241","394,241",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),2 (100),2 (100),2 (100),2 (100),9 (8-10),9 (8-10),10 (9-10),9 (8-10),18 (14-22),18 (14-22),17 (12-22),18 (14-22),--,--,450,450,--,--,450,450,--,--,--,1475,2 (100),2 (100),0 (0),1 (50),1 (50),1 (50),1 (50),1 (50),1 (50),1 (50),1 (50),1 (50)
Wyoming,2,2,2,2,"61,597","61,443","61,534","61,534",0 (0),0 (0),0 (0),0 (0),1 (50),1 (50),2 (100),1 (50),1 (50),1 (50),0 (0),1 (50),,9 (8-9) 10 (10-10),10 (10-10),10 (10-10),,12 (12-12) 12 (12-12),--,12 (12-12),678,675,675,750,1099,950,--,1200,--,--,--,--,2 (100),2 (100),1 (50),0 (0),2 (100),2 (100),2 (100),2 (100),0 (0),0 (0),0 (0),0 (0)
Alaska,6,6,6,5,"27,404","27,138","26,917","32,300",0 (0),0 (0),0 (0),0 (0),1 (17),1 (17),1 (17),1 (20),5 (83),5 (83),5 (83),4 (80),10 (10-10),10 (9-10),10 (9-10),11 (10-11),14 (12-14),14 (12-14),14 (14-14),14 (10-14),800,650,800,800,835,650,800,800,--,750,--,900,6 (100),6 (100),5 (83),4 (80),2 (33),2 (33),2 (33),1 (20),4 (67),4 (67),4 (67),4 (80)
California,151,149,157,163,"61,856","62,619","59,266","57,085",5 (3),5 (3),5 (3),3 (2),67 (44),63 (42),64 (41),88 (54),79 (52),81 (54),87 (58),72 (44),9 (6-10),10 (6-10),10 (7-10),10 (7-11),18 (6-24),18 (6-24),20 (6-24),18 (10-24),575,575,680,680,500,500,700,700,1675,1675,--,1170,142 (94),139 (93),144 (92),151 (93),60 (40),60 (40),66 (42),64 (39),91 (60),89 (59),91 (58),99 (61)
Hawaii,3,3,3,3,"100,437","99,798","99,090","99,090",0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0),3 (100),3 (100),3 (100),3 (100),10 (10-10),10 (10-10),10 (10-10),11 (10-11),14 (14-24),14 (14-24),14 (14-24),18 (17-24),--,845,845,845,--,845,845,845,--,845,--,1027,3 (100),3 (100),3 (100),3 (100),1 (33),1 (33),1 (33),1 (33),2 (67),2 (67),2 (67),2 (67)
Oregon,12,12,12,13,"78,433","79,147","79,760","73,625",0 (0),0 (0),0 (0),0 (0),4 (33),4 (33),6 (50),7 (54),8 (67),8 (67),6 (50),6 (46),10 (8-10),10 (8-10),10 (8-10),10 (8-11),14 (8-23),14 (8-23),14 (14-23),15 (12-23),520,520,550,625,520,520,550,700,--,--,--,2650,12 (100),12 (100),11 (92),13 (100),4 (33),4 (33),2 (17),2 (15),8 (67),8 (67),10 (83),11 (85)
Washington,33,31,31,32,"51,459","55,535","56,153","54,398",1 (3),1 (3),1 (3),1 (3),15 (46),13 (42),13 (42),14 (44),17 (52),17 (55),17 (55),17 (53),,10 (9-10) 10 (10-10),10 (10-11),11 (10-11),,15 (14-26) 15 (14-26),15 (14-26),15 (14-26),650,650,650,650,650,650,650,650,763,763,--,--,32 (97),30 (97),30 (97),32 (100),7 (21),7 (23),7 (23),6 (19),26 (79),24 (77),24 (77),26 (81)
