"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Year"	"Year Code"	Fetal Deaths
	"Colorado"	"08"	"2014"	"2014"	350
	"Colorado"	"08"	"2015"	"2015"	377
	"Colorado"	"08"	"2016"	"2016"	393
	"Colorado"	"08"	"2017"	"2017"	363
	"Colorado"	"08"	"2018"	"2018"	338
	"Colorado"	"08"	"2019"	"2019"	350
	"Colorado"	"08"	"2020"	"2020"	327
"Total"	"Colorado"	"08"			5695
	"Connecticut"	"09"	"2005"	"2005"	253
	"Connecticut"	"09"	"2006"	"2006"	234
	"Connecticut"	"09"	"2007"	"2007"	248
	"Connecticut"	"09"	"2008"	"2008"	224
	"Connecticut"	"09"	"2009"	"2009"	209
	"Connecticut"	"09"	"2010"	"2010"	197
	"Connecticut"	"09"	"2011"	"2011"	208
	"Connecticut"	"09"	"2012"	"2012"	186
	"Connecticut"	"09"	"2013"	"2013"	196
	"Connecticut"	"09"	"2014"	"2014"	164
	"Connecticut"	"09"	"2015"	"2015"	170
	"Connecticut"	"09"	"2016"	"2016"	149
	"Connecticut"	"09"	"2017"	"2017"	186
	"Connecticut"	"09"	"2018"	"2018"	173
	"Connecticut"	"09"	"2019"	"2019"	133
	"Connecticut"	"09"	"2020"	"2020"	149
"Total"	"Connecticut"	"09"			3079
	"Delaware"	"10"	"2005"	"2005"	66
	"Delaware"	"10"	"2006"	"2006"	70
	"Delaware"	"10"	"2007"	"2007"	61
	"Delaware"	"10"	"2008"	"2008"	79
	"Delaware"	"10"	"2009"	"2009"	67
	"Delaware"	"10"	"2010"	"2010"	68
	"Delaware"	"10"	"2011"	"2011"	81
	"Delaware"	"10"	"2012"	"2012"	67
	"Delaware"	"10"	"2013"	"2013"	65
	"Delaware"	"10"	"2014"	"2014"	59
	"Delaware"	"10"	"2015"	"2015"	71
	"Delaware"	"10"	"2016"	"2016"	55
	"Delaware"	"10"	"2017"	"2017"	59
	"Delaware"	"10"	"2018"	"2018"	60
	"Delaware"	"10"	"2019"	"2019"	59
	"Delaware"	"10"	"2020"	"2020"	57
"Total"	"Delaware"	"10"			1044
	"District of Columbia"	"11"	"2005"	"2005"	68
	"District of Columbia"	"11"	"2006"	"2006"	73
	"District of Columbia"	"11"	"2007"	"2007"	99
	"District of Columbia"	"11"	"2008"	"2008"	96
	"District of Columbia"	"11"	"2009"	"2009"	84
	"District of Columbia"	"11"	"2010"	"2010"	99
	"District of Columbia"	"11"	"2011"	"2011"	66
	"District of Columbia"	"11"	"2012"	"2012"	84
	"District of Columbia"	"11"	"2013"	"2013"	90
	"District of Columbia"	"11"	"2014"	"2014"	110
	"District of Columbia"	"11"	"2015"	"2015"	93
	"District of Columbia"	"11"	"2016"	"2016"	86
	"District of Columbia"	"11"	"2017"	"2017"	69
	"District of Columbia"	"11"	"2018"	"2018"	74
	"District of Columbia"	"11"	"2019"	"2019"	86
	"District of Columbia"	"11"	"2020"	"2020"	70
"Total"	"District of Columbia"	"11"			1347
	"Florida"	"12"	"2005"	"2005"	1608
	"Florida"	"12"	"2006"	"2006"	1707
	"Florida"	"12"	"2007"	"2007"	1794
	"Florida"	"12"	"2008"	"2008"	1643
	"Florida"	"12"	"2009"	"2009"	1532
	"Florida"	"12"	"2010"	"2010"	1512
	"Florida"	"12"	"2011"	"2011"	1532
	"Florida"	"12"	"2012"	"2012"	1518
	"Florida"	"12"	"2013"	"2013"	1527
	"Florida"	"12"	"2014"	"2014"	1607
	"Florida"	"12"	"2015"	"2015"	1568
	"Florida"	"12"	"2016"	"2016"	1572
	"Florida"	"12"	"2017"	"2017"	1588
	"Florida"	"12"	"2018"	"2018"	1515
	"Florida"	"12"	"2019"	"2019"	1538
	"Florida"	"12"	"2020"	"2020"	1458
"Total"	"Florida"	"12"			25219
	"Georgia"	"13"	"2005"	"2005"	1066
	"Georgia"	"13"	"2006"	"2006"	1005
	"Georgia"	"13"	"2007"	"2007"	1265
	"Georgia"	"13"	"2008"	"2008"	1176
	"Georgia"	"13"	"2009"	"2009"	1148
	"Georgia"	"13"	"2010"	"2010"	1091
	"Georgia"	"13"	"2011"	"2011"	1175
	"Georgia"	"13"	"2012"	"2012"	1126
	"Georgia"	"13"	"2013"	"2013"	1154
	"Georgia"	"13"	"2014"	"2014"	1046
	"Georgia"	"13"	"2015"	"2015"	1135
	"Georgia"	"13"	"2016"	"2016"	1073
	"Georgia"	"13"	"2017"	"2017"	1045
	"Georgia"	"13"	"2018"	"2018"	976
	"Georgia"	"13"	"2019"	"2019"	976
	"Georgia"	"13"	"2020"	"2020"	1007
"Total"	"Georgia"	"13"			17464
	"Hawaii"	"15"	"2005"	"2005"	112
	"Hawaii"	"15"	"2006"	"2006"	128
	"Hawaii"	"15"	"2007"	"2007"	118
	"Hawaii"	"15"	"2008"	"2008"	124
	"Hawaii"	"15"	"2009"	"2009"	125
	"Hawaii"	"15"	"2010"	"2010"	134
	"Hawaii"	"15"	"2011"	"2011"	120
	"Hawaii"	"15"	"2012"	"2012"	100
	"Hawaii"	"15"	"2013"	"2013"	114
	"Hawaii"	"15"	"2014"	"2014"	99
	"Hawaii"	"15"	"2015"	"2015"	98
	"Hawaii"	"15"	"2016"	"2016"	118
	"Hawaii"	"15"	"2017"	"2017"	120
	"Hawaii"	"15"	"2018"	"2018"	120
	"Hawaii"	"15"	"2019"	"2019"	85
	"Hawaii"	"15"	"2020"	"2020"	103
"Total"	"Hawaii"	"15"			1818
	"Idaho"	"16"	"2005"	"2005"	129
	"Idaho"	"16"	"2006"	"2006"	104
	"Idaho"	"16"	"2007"	"2007"	125
	"Idaho"	"16"	"2008"	"2008"	128
	"Idaho"	"16"	"2009"	"2009"	118
	"Idaho"	"16"	"2010"	"2010"	125
	"Idaho"	"16"	"2011"	"2011"	135
	"Idaho"	"16"	"2012"	"2012"	115
	"Idaho"	"16"	"2013"	"2013"	107
	"Idaho"	"16"	"2014"	"2014"	112
	"Idaho"	"16"	"2015"	"2015"	140
	"Idaho"	"16"	"2016"	"2016"	112
	"Idaho"	"16"	"2017"	"2017"	106
	"Idaho"	"16"	"2018"	"2018"	113
	"Idaho"	"16"	"2019"	"2019"	112
	"Idaho"	"16"	"2020"	"2020"	117
"Total"	"Idaho"	"16"			1898
	"Illinois"	"17"	"2005"	"2005"	1126
	"Illinois"	"17"	"2006"	"2006"	1042
	"Illinois"	"17"	"2007"	"2007"	1120
	"Illinois"	"17"	"2008"	"2008"	1112
	"Illinois"	"17"	"2009"	"2009"	953
	"Illinois"	"17"	"2010"	"2010"	915
	"Illinois"	"17"	"2011"	"2011"	943
	"Illinois"	"17"	"2012"	"2012"	1011
	"Illinois"	"17"	"2013"	"2013"	936
	"Illinois"	"17"	"2014"	"2014"	905
	"Illinois"	"17"	"2015"	"2015"	974
	"Illinois"	"17"	"2016"	"2016"	968
	"Illinois"	"17"	"2017"	"2017"	911
	"Illinois"	"17"	"2018"	"2018"	890
	"Illinois"	"17"	"2019"	"2019"	829
	"Illinois"	"17"	"2020"	"2020"	754
"Total"	"Illinois"	"17"			15389
	"Indiana"	"18"	"2005"	"2005"	492
	"Indiana"	"18"	"2006"	"2006"	579
	"Indiana"	"18"	"2007"	"2007"	516
	"Indiana"	"18"	"2008"	"2008"	532
	"Indiana"	"18"	"2009"	"2009"	454
	"Indiana"	"18"	"2010"	"2010"	472
	"Indiana"	"18"	"2011"	"2011"	493
	"Indiana"	"18"	"2012"	"2012"	441
	"Indiana"	"18"	"2013"	"2013"	491
	"Indiana"	"18"	"2014"	"2014"	568
	"Indiana"	"18"	"2015"	"2015"	496
	"Indiana"	"18"	"2016"	"2016"	509
	"Indiana"	"18"	"2017"	"2017"	518
	"Indiana"	"18"	"2018"	"2018"	498
	"Indiana"	"18"	"2019"	"2019"	489
	"Indiana"	"18"	"2020"	"2020"	476
"Total"	"Indiana"	"18"			8024
	"Iowa"	"19"	"2005"	"2005"	222
	"Iowa"	"19"	"2006"	"2006"	234
	"Iowa"	"19"	"2007"	"2007"	224
	"Iowa"	"19"	"2008"	"2008"	248
	"Iowa"	"19"	"2009"	"2009"	209
	"Iowa"	"19"	"2010"	"2010"	199
	"Iowa"	"19"	"2011"	"2011"	180
	"Iowa"	"19"	"2012"	"2012"	181
	"Iowa"	"19"	"2013"	"2013"	171
	"Iowa"	"19"	"2014"	"2014"	178
	"Iowa"	"19"	"2015"	"2015"	183
	"Iowa"	"19"	"2016"	"2016"	193
	"Iowa"	"19"	"2017"	"2017"	196
	"Iowa"	"19"	"2018"	"2018"	150
	"Iowa"	"19"	"2019"	"2019"	196
	"Iowa"	"19"	"2020"	"2020"	166
"Total"	"Iowa"	"19"			3130
	"Kansas"	"20"	"2005"	"2005"	200
	"Kansas"	"20"	"2006"	"2006"	202
	"Kansas"	"20"	"2007"	"2007"	194
	"Kansas"	"20"	"2008"	"2008"	185
	"Kansas"	"20"	"2009"	"2009"	216
	"Kansas"	"20"	"2010"	"2010"	166
	"Kansas"	"20"	"2011"	"2011"	187
	"Kansas"	"20"	"2012"	"2012"	199
	"Kansas"	"20"	"2013"	"2013"	176
	"Kansas"	"20"	"2014"	"2014"	201
	"Kansas"	"20"	"2015"	"2015"	232
	"Kansas"	"20"	"2016"	"2016"	254
	"Kansas"	"20"	"2017"	"2017"	185
	"Kansas"	"20"	"2018"	"2018"	204
	"Kansas"	"20"	"2019"	"2019"	196
	"Kansas"	"20"	"2020"	"2020"	168
"Total"	"Kansas"	"20"			3165
	"Kentucky"	"21"	"2005"	"2005"	338
	"Kentucky"	"21"	"2006"	"2006"	379
	"Kentucky"	"21"	"2007"	"2007"	381
	"Kentucky"	"21"	"2008"	"2008"	361
	"Kentucky"	"21"	"2009"	"2009"	345
	"Kentucky"	"21"	"2010"	"2010"	340
	"Kentucky"	"21"	"2011"	"2011"	329
	"Kentucky"	"21"	"2012"	"2012"	370
	"Kentucky"	"21"	"2013"	"2013"	346
	"Kentucky"	"21"	"2014"	"2014"	371
	"Kentucky"	"21"	"2015"	"2015"	359
	"Kentucky"	"21"	"2016"	"2016"	345
	"Kentucky"	"21"	"2017"	"2017"	351
	"Kentucky"	"21"	"2018"	"2018"	311
	"Kentucky"	"21"	"2019"	"2019"	306
	"Kentucky"	"21"	"2020"	"2020"	327
"Total"	"Kentucky"	"21"			5559
	"Louisiana"	"22"	"2005"	"2005"	483
	"Louisiana"	"22"	"2006"	"2006"	386
	"Louisiana"	"22"	"2007"	"2007"	358
	"Louisiana"	"22"	"2008"	"2008"	386
	"Louisiana"	"22"	"2009"	"2009"	359
	"Louisiana"	"22"	"2010"	"2010"	339
	"Louisiana"	"22"	"2011"	"2011"	333
	"Louisiana"	"22"	"2012"	"2012"	282
	"Louisiana"	"22"	"2013"	"2013"	289
	"Louisiana"	"22"	"2014"	"2014"	344
	"Louisiana"	"22"	"2015"	"2015"	348
	"Louisiana"	"22"	"2016"	"2016"	390
	"Louisiana"	"22"	"2017"	"2017"	329
	"Louisiana"	"22"	"2018"	"2018"	325
	"Louisiana"	"22"	"2019"	"2019"	290
	"Louisiana"	"22"	"2020"	"2020"	322
"Total"	"Louisiana"	"22"			5563
	"Maine"	"23"	"2005"	"2005"	76
	"Maine"	"23"	"2006"	"2006"	68
	"Maine"	"23"	"2007"	"2007"	64
	"Maine"	"23"	"2008"	"2008"	62
	"Maine"	"23"	"2009"	"2009"	46
	"Maine"	"23"	"2010"	"2010"	61
	"Maine"	"23"	"2011"	"2011"	62
	"Maine"	"23"	"2012"	"2012"	57
	"Maine"	"23"	"2013"	"2013"	62
	"Maine"	"23"	"2014"	"2014"	55
	"Maine"	"23"	"2015"	"2015"	65
	"Maine"	"23"	"2016"	"2016"	41
	"Maine"	"23"	"2017"	"2017"	68
	"Maine"	"23"	"2018"	"2018"	71
	"Maine"	"23"	"2019"	"2019"	65
	"Maine"	"23"	"2020"	"2020"	74
"Total"	"Maine"	"23"			997
	"Maryland"	"24"	"2005"	"2005"	631
	"Maryland"	"24"	"2006"	"2006"	618
	"Maryland"	"24"	"2007"	"2007"	584
	"Maryland"	"24"	"2008"	"2008"	565
	"Maryland"	"24"	"2009"	"2009"	554
	"Maryland"	"24"	"2010"	"2010"	539
	"Maryland"	"24"	"2011"	"2011"	532
	"Maryland"	"24"	"2012"	"2012"	558
	"Maryland"	"24"	"2013"	"2013"	553
	"Maryland"	"24"	"2014"	"2014"	567
	"Maryland"	"24"	"2015"	"2015"	530
	"Maryland"	"24"	"2016"	"2016"	550
	"Maryland"	"24"	"2017"	"2017"	505
	"Maryland"	"24"	"2018"	"2018"	497
	"Maryland"	"24"	"2019"	"2019"	462
	"Maryland"	"24"	"2020"	"2020"	466
"Total"	"Maryland"	"24"			8711
	"Massachusetts"	"25"	"2005"	"2005"	419
	"Massachusetts"	"25"	"2006"	"2006"	379
	"Massachusetts"	"25"	"2007"	"2007"	403
	"Massachusetts"	"25"	"2008"	"2008"	388
	"Massachusetts"	"25"	"2009"	"2009"	380
	"Massachusetts"	"25"	"2010"	"2010"	340
	"Massachusetts"	"25"	"2011"	"2011"	370
	"Massachusetts"	"25"	"2012"	"2012"	313
	"Massachusetts"	"25"	"2013"	"2013"	334
	"Massachusetts"	"25"	"2014"	"2014"	360
	"Massachusetts"	"25"	"2015"	"2015"	336
	"Massachusetts"	"25"	"2016"	"2016"	331
	"Massachusetts"	"25"	"2017"	"2017"	288
	"Massachusetts"	"25"	"2018"	"2018"	316
	"Massachusetts"	"25"	"2019"	"2019"	298
	"Massachusetts"	"25"	"2020"	"2020"	278
"Total"	"Massachusetts"	"25"			5533
	"Michigan"	"26"	"2005"	"2005"	742
	"Michigan"	"26"	"2006"	"2006"	707
	"Michigan"	"26"	"2007"	"2007"	690
	"Michigan"	"26"	"2008"	"2008"	657
	"Michigan"	"26"	"2009"	"2009"	679
	"Michigan"	"26"	"2010"	"2010"	620
	"Michigan"	"26"	"2011"	"2011"	612
	"Michigan"	"26"	"2012"	"2012"	567
	"Michigan"	"26"	"2013"	"2013"	575
	"Michigan"	"26"	"2014"	"2014"	604
	"Michigan"	"26"	"2015"	"2015"	555
	"Michigan"	"26"	"2016"	"2016"	639
	"Michigan"	"26"	"2017"	"2017"	609
	"Michigan"	"26"	"2018"	"2018"	655
	"Michigan"	"26"	"2019"	"2019"	652
	"Michigan"	"26"	"2020"	"2020"	612
"Total"	"Michigan"	"26"			10175
	"Minnesota"	"27"	"2005"	"2005"	339
	"Minnesota"	"27"	"2006"	"2006"	352
	"Minnesota"	"27"	"2007"	"2007"	393
	"Minnesota"	"27"	"2008"	"2008"	374
	"Minnesota"	"27"	"2009"	"2009"	341
	"Minnesota"	"27"	"2010"	"2010"	350
	"Minnesota"	"27"	"2011"	"2011"	383
	"Minnesota"	"27"	"2012"	"2012"	351
	"Minnesota"	"27"	"2013"	"2013"	350
	"Minnesota"	"27"	"2014"	"2014"	375
	"Minnesota"	"27"	"2015"	"2015"	402
	"Minnesota"	"27"	"2016"	"2016"	378
	"Minnesota"	"27"	"2017"	"2017"	386
	"Minnesota"	"27"	"2018"	"2018"	394
	"Minnesota"	"27"	"2019"	"2019"	359
	"Minnesota"	"27"	"2020"	"2020"	343
"Total"	"Minnesota"	"27"			5870
	"Mississippi"	"28"	"2005"	"2005"	419
	"Mississippi"	"28"	"2006"	"2006"	432
	"Mississippi"	"28"	"2007"	"2007"	462
	"Mississippi"	"28"	"2008"	"2008"	452
	"Mississippi"	"28"	"2009"	"2009"	399
	"Mississippi"	"28"	"2010"	"2010"	414
	"Mississippi"	"28"	"2011"	"2011"	399
	"Mississippi"	"28"	"2012"	"2012"	367
	"Mississippi"	"28"	"2013"	"2013"	345
	"Mississippi"	"28"	"2014"	"2014"	391
	"Mississippi"	"28"	"2015"	"2015"	350
	"Mississippi"	"28"	"2016"	"2016"	399
	"Mississippi"	"28"	"2017"	"2017"	418
	"Mississippi"	"28"	"2018"	"2018"	391
	"Mississippi"	"28"	"2019"	"2019"	348
	"Mississippi"	"28"	"2020"	"2020"	380
"Total"	"Mississippi"	"28"			6366
	"Missouri"	"29"	"2005"	"2005"	444
	"Missouri"	"29"	"2006"	"2006"	456
	"Missouri"	"29"	"2007"	"2007"	488
	"Missouri"	"29"	"2008"	"2008"	468
	"Missouri"	"29"	"2009"	"2009"	432
	"Missouri"	"29"	"2010"	"2010"	400
	"Missouri"	"29"	"2011"	"2011"	387
	"Missouri"	"29"	"2012"	"2012"	422
	"Missouri"	"29"	"2013"	"2013"	411
	"Missouri"	"29"	"2014"	"2014"	392
	"Missouri"	"29"	"2015"	"2015"	458
	"Missouri"	"29"	"2016"	"2016"	463
	"Missouri"	"29"	"2017"	"2017"	430
	"Missouri"	"29"	"2018"	"2018"	400
	"Missouri"	"29"	"2019"	"2019"	402
	"Missouri"	"29"	"2020"	"2020"	431
"Total"	"Missouri"	"29"			6884
	"Montana"	"30"	"2005"	"2005"	54
	"Montana"	"30"	"2006"	"2006"	54
	"Montana"	"30"	"2007"	"2007"	39
	"Montana"	"30"	"2008"	"2008"	45
	"Montana"	"30"	"2009"	"2009"	57
	"Montana"	"30"	"2010"	"2010"	52
	"Montana"	"30"	"2011"	"2011"	60
	"Montana"	"30"	"2012"	"2012"	58
	"Montana"	"30"	"2013"	"2013"	57
	"Montana"	"30"	"2014"	"2014"	54
	"Montana"	"30"	"2015"	"2015"	50
	"Montana"	"30"	"2016"	"2016"	52
	"Montana"	"30"	"2017"	"2017"	54
	"Montana"	"30"	"2018"	"2018"	46
	"Montana"	"30"	"2019"	"2019"	54
	"Montana"	"30"	"2020"	"2020"	44
"Total"	"Montana"	"30"			830
	"Nebraska"	"31"	"2005"	"2005"	134
	"Nebraska"	"31"	"2006"	"2006"	149
	"Nebraska"	"31"	"2007"	"2007"	171
	"Nebraska"	"31"	"2008"	"2008"	165
	"Nebraska"	"31"	"2009"	"2009"	149
	"Nebraska"	"31"	"2010"	"2010"	133
	"Nebraska"	"31"	"2011"	"2011"	123
	"Nebraska"	"31"	"2012"	"2012"	149
	"Nebraska"	"31"	"2013"	"2013"	135
	"Nebraska"	"31"	"2014"	"2014"	157
	"Nebraska"	"31"	"2015"	"2015"	157
	"Nebraska"	"31"	"2016"	"2016"	152
	"Nebraska"	"31"	"2017"	"2017"	164
	"Nebraska"	"31"	"2018"	"2018"	105
	"Nebraska"	"31"	"2019"	"2019"	125
	"Nebraska"	"31"	"2020"	"2020"	104
"Total"	"Nebraska"	"31"			2272
	"Nevada"	"32"	"2005"	"2005"	268
	"Nevada"	"32"	"2006"	"2006"	275
	"Nevada"	"32"	"2007"	"2007"	246
	"Nevada"	"32"	"2008"	"2008"	260
	"Nevada"	"32"	"2009"	"2009"	232
	"Nevada"	"32"	"2010"	"2010"	226
	"Nevada"	"32"	"2011"	"2011"	250
	"Nevada"	"32"	"2012"	"2012"	241
	"Nevada"	"32"	"2013"	"2013"	223
	"Nevada"	"32"	"2014"	"2014"	207
	"Nevada"	"32"	"2015"	"2015"	233
	"Nevada"	"32"	"2016"	"2016"	267
	"Nevada"	"32"	"2017"	"2017"	244
	"Nevada"	"32"	"2018"	"2018"	252
	"Nevada"	"32"	"2019"	"2019"	230
	"Nevada"	"32"	"2020"	"2020"	260
"Total"	"Nevada"	"32"			3914
	"New Hampshire"	"33"	"2005"	"2005"	64
	"New Hampshire"	"33"	"2006"	"2006"	77
	"New Hampshire"	"33"	"2007"	"2007"	61
	"New Hampshire"	"33"	"2008"	"2008"	57
	"New Hampshire"	"33"	"2009"	"2009"	79
	"New Hampshire"	"33"	"2010"	"2010"	60
	"New Hampshire"	"33"	"2011"	"2011"	70
	"New Hampshire"	"33"	"2012"	"2012"	55
	"New Hampshire"	"33"	"2013"	"2013"	44
	"New Hampshire"	"33"	"2014"	"2014"	62
	"New Hampshire"	"33"	"2015"	"2015"	45
	"New Hampshire"	"33"	"2016"	"2016"	71
	"New Hampshire"	"33"	"2017"	"2017"	53
	"New Hampshire"	"33"	"2018"	"2018"	55
	"New Hampshire"	"33"	"2019"	"2019"	55
	"New Hampshire"	"33"	"2020"	"2020"	54
"Total"	"New Hampshire"	"33"			962
	"New Jersey"	"34"	"2005"	"2005"	703
	"New Jersey"	"34"	"2006"	"2006"	783
	"New Jersey"	"34"	"2007"	"2007"	809
	"New Jersey"	"34"	"2008"	"2008"	744
	"New Jersey"	"34"	"2009"	"2009"	772
	"New Jersey"	"34"	"2010"	"2010"	722
	"New Jersey"	"34"	"2011"	"2011"	675
	"New Jersey"	"34"	"2012"	"2012"	693
	"New Jersey"	"34"	"2013"	"2013"	693
	"New Jersey"	"34"	"2014"	"2014"	696
	"New Jersey"	"34"	"2015"	"2015"	654
	"New Jersey"	"34"	"2016"	"2016"	699
	"New Jersey"	"34"	"2017"	"2017"	731
	"New Jersey"	"34"	"2018"	"2018"	701
	"New Jersey"	"34"	"2019"	"2019"	694
	"New Jersey"	"34"	"2020"	"2020"	658
"Total"	"New Jersey"	"34"			11427
	"New Mexico"	"35"	"2005"	"2005"	82
	"New Mexico"	"35"	"2006"	"2006"	73
	"New Mexico"	"35"	"2007"	"2007"	92
	"New Mexico"	"35"	"2008"	"2008"	94
	"New Mexico"	"35"	"2009"	"2009"	129
	"New Mexico"	"35"	"2010"	"2010"	87
	"New Mexico"	"35"	"2011"	"2011"	91
	"New Mexico"	"35"	"2012"	"2012"	100
	"New Mexico"	"35"	"2013"	"2013"	78
	"New Mexico"	"35"	"2014"	"2014"	91
	"New Mexico"	"35"	"2015"	"2015"	94
	"New Mexico"	"35"	"2016"	"2016"	83
	"New Mexico"	"35"	"2017"	"2017"	82
	"New Mexico"	"35"	"2018"	"2018"	84
	"New Mexico"	"35"	"2019"	"2019"	69
	"New Mexico"	"35"	"2020"	"2020"	77
"Total"	"New Mexico"	"35"			1406
	"New York"	"36"	"2005"	"2005"	2062
	"New York"	"36"	"2006"	"2006"	1992
	"New York"	"36"	"2007"	"2007"	2035
	"New York"	"36"	"2008"	"2008"	2137
	"New York"	"36"	"2009"	"2009"	2053
	"New York"	"36"	"2010"	"2010"	2036
	"New York"	"36"	"2011"	"2011"	2032
	"New York"	"36"	"2012"	"2012"	1874
	"New York"	"36"	"2013"	"2013"	1740
	"New York"	"36"	"2014"	"2014"	1634
	"New York"	"36"	"2015"	"2015"	1554
	"New York"	"36"	"2016"	"2016"	1526
	"New York"	"36"	"2017"	"2017"	1453
	"New York"	"36"	"2018"	"2018"	1463
	"New York"	"36"	"2019"	"2019"	1331
	"New York"	"36"	"2020"	"2020"	1338
"Total"	"New York"	"36"			28260
	"North Carolina"	"37"	"2005"	"2005"	847
	"North Carolina"	"37"	"2006"	"2006"	852
	"North Carolina"	"37"	"2007"	"2007"	809
	"North Carolina"	"37"	"2008"	"2008"	870
	"North Carolina"	"37"	"2009"	"2009"	839
	"North Carolina"	"37"	"2010"	"2010"	801
	"North Carolina"	"37"	"2011"	"2011"	739
	"North Carolina"	"37"	"2012"	"2012"	797
	"North Carolina"	"37"	"2013"	"2013"	759
	"North Carolina"	"37"	"2014"	"2014"	906
	"North Carolina"	"37"	"2015"	"2015"	857
	"North Carolina"	"37"	"2016"	"2016"	824
	"North Carolina"	"37"	"2017"	"2017"	803
	"North Carolina"	"37"	"2018"	"2018"	802
	"North Carolina"	"37"	"2019"	"2019"	784
	"North Carolina"	"37"	"2020"	"2020"	680
