"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2017 found at: https://www.cdc.gov/mmwr/volumes/68/ss/ss681a1.htm",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
,Louisiana,-- ,0,0,209,0,-- ,0,0,0,-- ,-- ,0,0,0,0,-- ,-- ,0,"7,474",0,0,0,-- ,0,201,-- ,0,0,0,0,0,0,-- ,0,0,-- ,-- ,0,0,0,0,0,-- ,786,0,0,0,0,0,0,0,0,0,0,0,0,-- ,"8,706"
,Maine,0,-- ,0,0,0,0,0,-- ,0,0,-- ,-- ,-- ,0,0,0,-- ,0,0,"1,864",0,-- ,0,0,0,-- ,0,0,0,69,0,0,-- ,0,0,-- ,-- ,0,-- ,-- ,-- ,0,0,0,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,-- ,"1,959"
,Maryland**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,149,"18,285"
,Michigan,-- ,0,-- ,0,-- ,0,0,0,0,-- ,-- ,0,0,-- ,196,0,0,-- ,-- ,0,0,-- ,"25,757",0,-- ,0,0,-- ,0,0,-- ,-- ,-- ,-- ,0,540,0,0,-- ,0,0,0,-- ,-- ,-- ,0,-- ,-- ,0,-- ,0,0,-- ,0,-- ,0,-- ,"26,594"
,Minnesota,0,0,-- ,0,-- ,-- ,0,0,0,-- ,-- ,0,0,-- ,-- ,51,-- ,0,0,0,0,-- ,-- ,"9,196",0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,88,0,-- ,-- ,0,-- ,-- ,71,-- ,-- ,0,0,-- ,-- ,0,637,-- ,0,-- ,0,-- ,0,0,"10,134"
,Mississippi,-- ,0,0,-- ,0,0,0,0,0,-- ,-- ,0,0,-- ,0,0,0,0,91,0,0,0,0,0,"2,467",0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,-- ,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,"2,594"
,Missouri,0,0,-- ,-- ,-- ,-- ,0,-- ,0,-- ,-- ,0,0,329,-- ,0,-- ,-- ,0,0,0,0,-- ,0,-- ,"3,522",0,0,0,-- ,-- ,0,0,0,0,0,-- ,-- ,-- ,0,0,0,-- ,-- ,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,"3,903"
,Montana,0,-- ,-- ,0,-- ,-- ,0,0,0,-- ,0,0,-- ,0,-- ,0,0,0,0,0,0,-- ,0,0,-- ,0,"1,415",0,-- ,0,-- ,0,-- ,0,-- ,0,0,-- ,0,0,0,-- ,0,0,-- ,0,0,-- ,0,0,74,0,0,0,0,0,0,"1,561"
,Nebraska,0,0,-- ,0,-- ,-- ,0,0,0,0,0,-- ,0,-- ,0,158,-- ,0,0,0,-- ,0,0,0,0,-- ,0,"1,751",0,0,0,0,0,0,0,0,-- ,0,0,0,0,-- ,0,-- ,0,0,0,0,0,-- ,0,0,0,0,0,0,0,"1,958"
,Nevada,0,0,150,-- ,108,-- ,-- ,0,0,-- ,-- ,-- ,-- ,-- ,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,"6,936",0,-- ,0,0,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,0,-- ,92,0,0,-- ,0,-- ,0,0,0,0,-- ,0,-- ,"7,360"
,New Hampshire**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,New Jersey,-- ,0,0,-- ,-- ,-- ,-- ,128,-- ,-- ,-- ,0,0,-- ,0,0,0,0,0,0,-- ,-- ,-- ,0,0,-- ,0,0,-- ,0,"20,320",0,154,-- ,0,-- ,0,0,747,-- ,-- ,-- ,0,-- ,0,0,-- ,0,-- ,-- ,0,0,0,0,0,0,0,"21,484"
,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,103,"3,999"
,New York,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,0,-- ,-- ,0,0,0,0,0,0,0,-- ,0,-- ,-- ,0,0,-- ,-- ,0,0,0,-- ,-- ,-- ,"24,982",-- ,0,-- ,-- ,-- ,441,0,-- ,0,-- ,-- ,0,-- ,-- ,-- ,0,-- ,0,0,-- ,0,-- ,"2,962",-- ,"28,575"
,New York City,-- ,0,-- ,0,-- ,-- ,87,-- ,-- ,-- ,-- ,0,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,846,0,"52,908",-- ,0,-- ,0,0,135,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,0,0,-- ,-- ,-- ,120,-- ,0,"54,391"
,North Carolina,-- ,0,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,127,-- ,0,-- ,-- ,0,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,0,-- ,-- ,-- ,"22,143",-- ,-- ,0,-- ,-- ,0,"3,724",0,103,-- ,0,-- ,588,-- ,-- ,-- ,0,-- ,0,0,0,0,305,"27,183"
,North Dakota,0,0,0,0,-- ,0,0,0,0,-- ,0,0,0,0,0,-- ,0,0,0,0,0,0,0,261,0,0,-- ,0,0,0,0,0,0,0,839,0,0,-- ,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,"1,155"
,Ohio,-- ,0,0,0,-- ,-- ,0,0,-- ,-- ,-- ,-- ,0,-- ,254,-- ,-- ,769,-- ,-- ,-- ,0,74,0,-- ,-- ,0,0,-- ,0,-- ,0,-- ,-- ,0,"19,615",-- ,0,81,0,-- ,0,-- ,-- ,0,0,-- ,0,-- ,-- ,-- ,0,0,0,-- ,0,-- ,"20,893"
,Oklahoma,0,-- ,0,104,-- ,-- ,0,0,0,-- ,-- ,-- ,0,0,0,-- ,-- ,0,0,0,-- ,0,-- ,0,0,-- ,0,0,0,0,0,-- ,-- ,0,0,0,"4,355",-- ,0,0,0,0,0,116,0,0,0,-- ,0,0,0,0,0,0,0,0,-- ,"4,681"
,Oregon,-- ,-- ,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,-- ,-- ,-- ,0,0,0,0,-- ,0,0,0,-- ,0,0,-- ,-- ,-- ,-- ,0,0,0,0,-- ,-- ,-- ,0,"7,662",-- ,0,0,0,0,-- ,-- ,0,0,759,0,-- ,-- ,0,-- ,0,0,0,0,"8,506"
,Pennsylvania,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,345,0,-- ,0,0,343,0,0,"28,234",0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,-- ,86,0,"30,011"
,Rhode Island,0,0,0,0,0,0,-- ,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,-- ,0,-- ,-- ,0,-- ,0,0,-- ,0,0,-- ,"2,640",-- ,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,"3,101"
,South Carolina,-- ,0,0,0,-- ,-- ,-- ,0,0,-- ,73,-- ,0,-- ,0,0,-- ,-- ,0,-- ,-- ,0,-- ,0,-- ,-- ,0,0,0,0,0,0,0,155,0,-- ,0,0,0,0,"4,836",0,-- ,0,0,0,-- ,0,0,-- ,0,0,0,0,-- ,0,-- ,"5,112"
,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,-- ,-- ,0,0,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,0,0,-- ,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497
,Tennessee,-- ,0,0,379,-- ,0,0,0,0,-- ,-- ,-- ,0,-- ,-- ,0,-- ,481,-- ,0,-- ,0,-- ,0,"1,043",-- ,0,-- ,0,-- ,-- ,0,0,-- ,0,-- ,-- ,0,-- ,0,-- ,0,"8,636",-- ,0,0,117,-- ,-- ,-- ,-- ,-- ,0,0,-- ,0,-- ,"10,810"
,Texas,-- ,0,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,0,-- ,-- ,0,-- ,-- ,438,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,0,-- ,198,-- ,-- ,-- ,-- ,100,-- ,-- ,-- ,-- ,-- ,-- ,"52,103",-- ,0,-- ,0,0,-- ,-- ,-- ,-- ,227,-- ,0,-- ,"53,277"
,Utah,0,-- ,-- ,0,-- ,-- ,0,0,0,-- ,-- ,0,77,0,-- ,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,-- ,"2,759",0,0,-- ,0,-- ,-- ,0,-- ,0,0,0,0,"2,923"
,Vermont,0,0,-- ,0,-- ,-- ,0,0,0,-- ,0,0,0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,0,0,126,-- ,0,-- ,-- ,0,0,0,0,-- ,-- ,-- ,0,0,0,0,992,0,-- ,0,0,0,0,-- ,0,0,0,0,"1,203"
,Virginia,-- ,0,-- ,-- ,-- ,-- ,-- ,0,125,-- ,-- ,-- ,-- ,0,0,0,0,-- ,-- ,-- ,382,-- ,0,0,0,0,0,0,-- ,0,-- ,0,-- ,272,0,-- ,0,0,-- ,0,-- ,0,-- ,-- ,0,0,"14,457",-- ,-- ,0,-- ,0,0,0,0,0,-- ,"15,381"
,Washington,-- ,144,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,384,-- ,-- ,-- ,-- ,0,-- ,-- ,0,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,-- ,-- ,-- ,173,-- ,-- ,0,0,0,-- ,-- ,0,-- ,"16,313",0,-- ,0,0,-- ,0,-- ,-- ,-- ,"17,207"
,West Virginia,0,0,-- ,0,-- ,0,0,0,0,-- ,-- ,0,0,0,0,0,-- ,74,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,70,0,0,-- ,0,0,0,-- ,0,0,0,-- ,0,"1,276",0,0,0,0,0,0,0,0,"1,436"
,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,-- ,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,640",0,0,0,0,0,-- ,0,"5,818"
,Wyoming,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Total by residence,"7,381","1,395","12,541","3,659",373,"7,902","9,498","2,429","1,449","66,650","28,730","2,258","1,746","33,493","10,062","3,228","3,467","4,715","8,190","1,883","1,893","18,133","26,034","9,539","4,770","8,668","1,480","1,857","7,018",208,"21,647","3,330","78,364","22,767",961,"20,718","4,625","7,885","29,812","2,725","10,730",681,"9,865","53,237","2,900","1,004","16,235","17,116","1,743","6,863",458,-- ,-- ,236,490,"5,847","1,769","612,719"
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by state of maternal residence should be interpreted with caution. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
