"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2018  found at: https://www.cdc.gov/mmwr/volumes/68/ss/ss681a1.htm",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
,Missouri,0,0,-- ,0,0,0,0,0,0,0,0,-- ,0,233,-- ,0,-- ,-- ,0,0,0,0,0,0,-- ,"2,645",0,-- ,0,0,-- ,0,0,0,0,0,-- ,0,0,0,-- ,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,910"
,Montana,0,0,-- ,0,0,-- ,0,0,0,-- ,0,0,-- ,0,-- ,0,0,0,-- ,0,-- ,0,0,-- ,0,-- ,"1,501",0,0,0,0,0,0,0,-- ,0,-- ,0,-- ,0,0,-- ,0,-- ,-- ,0,0,0,0,0,82,0,0,0,0,0,-- ,"1,674"
,Nebraska,0,-- ,0,0,0,0,0,0,0,-- ,0,0,0,-- ,0,176,-- ,0,0,0,-- ,0,0,-- ,0,-- ,0,"1,832",0,0,0,0,0,0,0,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,-- ,0,0,0,0,0,0,0,"2,078"
,Nevada,0,-- ,161,0,91,-- ,0,0,0,-- ,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,0,-- ,-- ,-- ,0,0,-- ,-- ,-- ,"8,326",-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,0,-- ,0,-- ,0,-- ,123,-- ,-- ,-- ,0,0,-- ,0,-- ,-- ,0,-- ,-- ,"8,819"
,New Hampshire**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,New Jersey,-- ,0,0,0,0,-- ,-- ,112,-- ,-- ,-- ,-- ,0,0,-- ,0,0,-- ,0,0,-- ,-- ,-- ,0,0,0,0,-- ,-- ,0,"21,604",0,232,-- ,0,-- ,-- ,0,845,-- ,-- ,0,-- ,-- ,-- ,0,-- ,0,-- ,0,0,0,0,0,0,0,-- ,"22,936"
,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,169,"3,847"
,New York,0,0,-- ,-- ,-- ,-- ,59,-- ,-- ,-- ,-- ,0,0,-- ,-- ,-- ,-- ,-- ,0,0,-- ,-- ,-- ,0,0,0,-- ,0,0,-- ,-- ,0,"24,495",-- ,0,-- ,0,-- ,399,-- ,-- ,0,-- ,-- ,0,-- ,-- ,-- ,0,0,0,-- ,0,0,-- ,"2,592",-- ,"27,688"
,New York City,-- ,0,-- ,-- ,-- ,-- ,88,-- ,-- ,-- ,-- ,0,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,0,0,0,920,0,"48,158",-- ,0,-- ,0,-- ,139,-- ,-- ,0,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,132,-- ,-- ,"49,759"
,North Carolina,-- ,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,103,-- ,0,-- ,-- ,0,0,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,0,0,-- ,0,-- ,0,-- ,"22,468",0,-- ,-- ,-- ,-- ,0,"4,051",0,123,-- ,-- ,0,543,0,-- ,-- ,-- ,-- ,0,0,0,0,117,"27,581"
,North Dakota,0,-- ,0,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,-- ,0,0,0,0,0,0,0,832,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,141"
,Ohio,-- ,0,-- ,0,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,245,-- ,-- ,723,0,-- ,0,0,59,-- ,0,0,0,0,-- ,0,0,0,-- ,-- ,0,"19,213",-- ,0,91,0,0,0,-- ,-- ,0,0,-- ,-- ,-- ,-- ,0,0,0,0,-- ,0,-- ,"20,425"
,Oklahoma,-- ,0,-- ,133,-- ,-- ,0,0,0,-- ,0,0,0,0,0,0,-- ,0,-- ,0,0,0,0,0,-- ,64,0,0,0,0,-- ,0,-- ,0,0,0,"4,569",-- ,-- ,0,0,0,-- ,117,0,0,0,0,0,0,0,0,0,0,0,0,53,"4,990"
,Oregon,-- ,-- ,-- ,0,-- ,-- ,0,0,0,0,0,-- ,-- ,-- ,-- ,0,0,0,-- ,0,0,-- ,-- ,-- ,0,-- ,-- ,0,0,0,0,-- ,-- ,0,-- ,-- ,-- ,"7,907",-- ,0,0,-- ,-- ,-- ,-- ,0,-- ,707,0,-- ,-- ,-- ,0,0,0,0,0,"8,735"
,Pennsylvania,0,0,0,0,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,384,0,-- ,0,0,365,0,0,"28,240",0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,117,0,"30,364"
,Rhode Island,0,0,0,0,-- ,-- ,-- ,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,-- ,-- ,0,-- ,-- ,0,-- ,0,0,0,"2,427",0,0,0,-- ,0,-- ,-- ,0,0,0,0,0,0,0,0,0,-- ,"2,817"
,South Carolina,-- ,0,-- ,0,-- ,-- ,0,0,0,-- ,56,0,0,-- ,0,0,0,-- ,-- ,0,0,0,-- ,0,0,-- ,0,0,0,0,0,-- ,-- ,129,0,-- ,0,-- ,-- ,0,"4,419",0,-- ,-- ,0,0,-- ,0,0,0,0,0,0,0,0,0,0,"4,646"
,South Dakota,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,52,-- ,0,0,0,0,0,0,-- ,0,0,0,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,-- ,0,0,0,0,0,0,0,0,0,382
,Tennessee,-- ,0,-- ,400,-- ,-- ,-- ,0,0,-- ,-- ,0,0,-- ,-- ,0,-- ,439,-- ,0,0,0,-- ,0,969,-- ,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,-- ,0,"8,812",-- ,0,0,137,0,-- ,0,0,-- ,0,0,0,0,-- ,"10,880"
,Texas,-- ,0,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,0,543,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,0,-- ,0,-- ,142,-- ,-- ,-- ,-- ,89,-- ,-- ,-- ,0,0,-- ,"53,887",0,0,-- ,-- ,0,-- ,-- ,-- ,0,281,-- ,0,-- ,"55,140"
,Utah,0,0,-- ,0,-- ,0,0,0,0,-- ,0,-- ,89,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,-- ,0,-- ,0,-- ,-- ,-- ,0,0,-- ,0,0,0,0,0,0,0,0,"2,895",0,0,0,0,0,50,-- ,0,0,0,0,0,"3,082"
,Vermont,0,-- ,0,0,0,0,-- ,0,0,-- ,0,0,0,0,0,0,0,0,-- ,-- ,0,-- ,0,0,0,0,0,0,0,119,-- ,0,59,0,0,-- ,0,-- ,0,0,0,0,0,-- ,0,986,-- ,0,0,0,0,-- ,0,0,0,0,-- ,"1,204"
,Virginia,-- ,0,-- ,-- ,-- ,-- ,-- ,-- ,105,-- ,-- ,0,0,-- ,0,0,0,-- ,-- ,-- ,308,-- ,-- ,0,-- ,-- ,0,-- ,-- ,0,-- ,0,-- ,336,0,-- ,0,0,-- ,0,-- ,0,-- ,-- ,-- ,0,"15,511",-- ,50,-- ,0,-- ,0,0,0,0,-- ,"16,474"
,Washington,-- ,98,-- ,-- ,-- ,-- ,0,0,0,-- ,-- ,-- ,419,-- ,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,0,-- ,-- ,-- ,-- ,-- ,0,249,-- ,0,-- ,0,0,-- ,-- ,0,-- ,"16,316",0,-- ,-- ,-- ,-- ,0,-- ,0,-- ,"17,264"
,West Virginia,-- ,0,0,-- ,-- ,0,0,0,0,-- ,0,0,0,0,-- ,0,0,91,0,0,0,0,0,0,0,-- ,0,0,0,0,0,0,0,-- ,0,94,0,0,-- ,0,0,0,0,-- ,0,0,-- ,0,"1,299",0,0,0,0,0,0,0,0,"1,507"
,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,-- ,0,0,0,0,0,0,-- ,-- ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,042",0,0,0,0,0,-- ,0,"6,224"
,Wyoming,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- 
,Total by residence,"7,928","1,373","12,588","3,551",347,"7,960","9,063","2,498","1,786","68,105","29,790","2,115","1,769","37,287","9,633","2,993","3,570","4,675","7,735","1,880","2,382","18,162","25,735","9,214","4,945","9,312","1,551","1,950","8,406",192,"23,047","3,110","73,188","23,166",959,"20,618","4,811","8,221","29,900","2,625","10,820",627,"10,358","55,120","3,075","1,004","17,495","17,063","1,747","7,313",477,-- ,-- ,287,444,"4,795",780,"619,591"
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by state of maternal residence should be interpreted with caution. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
